date,close_price,high_price,low_price,open_price,volume
19/12/2017,12.0516,12.1371,12.0231,12.0706,23056884
20/12/2017,12.0801,12.1086,12.0136,12.0801,18989429
21/12/2017,11.9946,12.1276,11.9946,12.0991,21004663
22/12/2017,11.9471,12.0231,11.9282,12.0231,17876156
26/12/2017,11.9661,12.0136,11.9187,11.9377,11664564
27/12/2017,11.8712,11.9471,11.8237,11.9377,17005626
28/12/2017,11.9471,11.9471,11.8427,11.8522,14793534
29/12/2017,11.8617,11.9756,11.8617,11.9471,18362455
02/01/2018,12.0231,12.0231,11.8712,11.8902,20773320
03/01/2018,12.1181,12.1561,12.0326,12.0421,29765638
04/01/2018,12.327,12.384,12.1276,12.1371,37478200
05/01/2018,12.536,12.555,12.384,12.403,46121873
08/01/2018,12.4885,12.555,12.4505,12.5455,33828330
09/01/2018,12.422,12.555,12.422,12.517,27924109
10/01/2018,12.3745,12.478,12.308,12.403,56517139
11/01/2018,12.498,12.536,12.346,12.365,28342293
12/01/2018,12.5644,12.6214,12.441,12.441,56979186
16/01/2018,12.441,12.8019,12.3555,12.6404,53961375
17/01/2018,11.5673,11.9471,11.4913,11.9471,132412533
18/01/2018,11.4628,11.5863,11.4153,11.5673,66541729
19/01/2018,11.3963,11.5103,11.3109,11.5103,51303747
22/01/2018,11.4153,11.4723,11.3014,11.4153,52851915
23/01/2018,11.3583,11.4248,11.3014,11.4248,51830968
24/01/2018,11.4438,11.4818,11.3203,11.3963,63300483
25/01/2018,10.988,11.3298,10.8645,11.3298,114886820
26/01/2018,11.0639,11.1114,10.9215,11.007,52496001
29/01/2018,10.8207,11.1612,10.8109,11.1126,55113971
30/01/2018,10.7623,10.9277,10.7525,10.7915,52068187
31/01/2018,10.6747,10.8158,10.6066,10.7915,57644576
01/02/2018,10.626,10.7039,10.5579,10.6552,41352192
02/02/2018,10.4217,10.5871,10.3341,10.5871,72312922
05/02/2018,9.9644,10.5093,9.9644,10.4898,96756955
06/02/2018,10.4704,10.4995,9.9157,9.9935,139938127
07/02/2018,10.4704,10.7428,10.412,10.4606,68041787
08/02/2018,10.1492,10.5677,10.1395,10.4995,73990734
09/02/2018,10.2465,10.3536,9.9644,10.2855,72103620
12/02/2018,10.412,10.5287,10.2598,10.3828,49068946
13/02/2018,10.3049,10.4022,10.2465,10.3439,36884488
14/02/2018,10.4509,10.4606,10.2174,10.266,27844338
15/02/2018,10.4704,10.5093,10.3536,10.5093,28208311
16/02/2018,10.3244,10.5287,10.2368,10.412,41041761
20/02/2018,10.3439,10.3828,10.266,10.2952,27617865
21/02/2018,10.3147,10.4606,10.3049,10.3633,36037720
